Graph Size,Simulation,Mixing Time
20,1,56
20,2,59
30,1,129
30,2,111
40,1,159
40,2,195
50,1,245
50,2,172
60,1,226
60,2,450
70,1,169
70,2,309
80,1,296
80,2,306
90,1,858
90,2,207
100,1,574
100,2,279
110,1,369
110,2,522
120,1,379
120,2,549
130,1,572
130,2,367
140,1,579
140,2,506
150,1,290
150,2,789
160,1,542
160,2,293
170,1,835
170,2,1317
180,1,298
180,2,529
190,1,978
190,2,1038
200,1,651
200,2,1246
210,1,652
210,2,845
220,1,816
220,2,1050
230,1,1561
230,2,807
240,1,874
240,2,1088
250,1,449
250,2,896
260,1,1305
260,2,846
270,1,1113
270,2,1055
280,1,763
280,2,910
290,1,1144
290,2,922
300,1,490
300,2,836
310,1,582
310,2,1030
320,1,952
320,2,940
330,1,1695
330,2,1352
340,1,708
340,2,828
350,1,907
350,2,1552
360,1,715
360,2,2459
370,1,961
370,2,1000
380,1,1282
380,2,1330
390,1,1417
390,2,713
400,1,1846
400,2,1938
410,1,1452
410,2,2176
420,1,1151
420,2,1254
430,1,1792
430,2,2158
440,1,1244
440,2,1231
450,1,1637
450,2,1161
460,1,1113
460,2,1479
470,1,914
470,2,1184
480,1,789
480,2,2043
490,1,946
490,2,1852
500,1,1560
500,2,1472
